# TRP			TYR			PHE			HIS			LEU			ILE			MET			VAL			ALA			CYS			GLY			PRO			THR			ASN			SER			GLN			ARG			LYS			ASP			GLU
2.282978723404255339e-02 1.555319148936170140e-02 1.732553191489361599e-01 3.242553191489361969e-02 2.042765957446808500e-01 7.776595744680850353e-02 2.978723404255319176e-04 5.472340425531915103e-02 1.902127659574467944e-02 2.617021276595744329e-03 9.027659574468085979e-02 1.046808510638297905e-02 1.934042553191489544e-02 1.534042553191489362e-02 1.457446808510638216e-02 1.295744680851063785e-02 1.934893617021276602e-01 1.780851063829787251e-02 8.787234042553191543e-03 1.906382978723404273e-02
1.555319148936170140e-02 8.999999999999999320e-03 1.936808510638297898e-01 1.989361702127659393e-02 9.059574468085107579e-02 6.021276595744680382e-02 7.446808510638298212e-04 6.191489361702127991e-02 1.938297872340425526e-02 1.508510638297872429e-02 1.368085106382978776e-02 1.561702127659574460e-02 1.597872340425532042e-02 5.127659574468085638e-03 1.744680851063829669e-02 4.497872340425532189e-02 2.025106382978723585e-01 1.851063829787234077e-02 1.197872340425532034e-02 1.008510638297872505e-02
1.732553191489361599e-01 1.936808510638297898e-01 1.404255319148936098e-03 2.279148936170212747e-01 7.153191489361701572e-02 1.489361702127659588e-04 6.382978723404254991e-05 0.000000000000000000e+00 2.148936170212765919e-03 2.127659574468085223e-05 6.170212765957447214e-04 1.037659574468084989e-01 1.893617021276595720e-03 1.595744680851063965e-03 3.361702127659574584e-03 1.489361702127659588e-04 9.706382978723404609e-02 2.553191489361701996e-03 3.385106382978723266e-02 5.957446808510638353e-04
3.242553191489361969e-02 1.989361702127659393e-02 2.279148936170212747e-01 1.323404255319148883e-02 1.302765957446808676e-01 1.537659574468085155e-01 2.170212765957446697e-03 1.596382978723404344e-01 1.880851063829787340e-02 5.361702127659574192e-03 6.359574468085106569e-02 1.855319148936170059e-02 1.751063829787233989e-02 8.723404255319148343e-03 1.557446808510638478e-02 3.921276595744680599e-02 1.796595744680851148e-01 1.887234042553191660e-02 1.340425531914893678e-02 1.553191489361702149e-02
2.042765957446808500e-01 9.059574468085107579e-02 7.153191489361701572e-02 1.302765957446808676e-01 1.419148936170212816e-01 3.000000000000000062e-03 1.702127659574468178e-04 3.595744680851063572e-03 3.914893617021276973e-03 7.021276595744680490e-04 7.834042553191489233e-02 4.144680851063829718e-02 4.446808510638297282e-03 1.170212765957446936e-02 4.787234042553191460e-03 4.255319148936170174e-04 2.211276595744680884e-01 3.808510638297872217e-03 3.140425531914893542e-02 3.659574468085106339e-03
7.776595744680850353e-02 6.021276595744680382e-02 1.489361702127659588e-04 1.537659574468085155e-01 3.000000000000000062e-03 8.510638297872340891e-05 8.510638297872340891e-05 0.000000000000000000e+00 2.297872340425531797e-03 1.063829787234042544e-04 2.340425531914893677e-04 2.108510638297872442e-02 1.595744680851063965e-03 3.404255319148936356e-04 3.382978723404255362e-03 2.978723404255319176e-04 1.170212765957446893e-03 3.000000000000000062e-03 1.212765957446808665e-03 6.382978723404254991e-04
2.978723404255319176e-04 7.446808510638298212e-04 6.382978723404254991e-05 2.170212765957446697e-03 1.702127659574468178e-04 8.510638297872340891e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.723404255319149210e-04 1.489361702127659588e-04 1.914893617021276497e-04 1.021276595744680799e-03 7.446808510638298212e-04 1.021276595744680799e-03 1.361702127659574543e-03 3.829787234042552994e-04 4.042553191489361855e-04 8.936170212765956987e-04 8.723404255319149210e-04 6.170212765957447214e-04
5.472340425531915103e-02 6.191489361702127991e-02 0.000000000000000000e+00 1.596382978723404344e-01 3.595744680851063572e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.063829787234042571e-03 0.000000000000000000e+00 2.127659574468085358e-04 3.408510638297872208e-02 5.531914893617021715e-04 8.510638297872340891e-05 1.829787234042553170e-03 1.489361702127659588e-04 3.340425531914893373e-03 1.297872340425531776e-03 8.936170212765956987e-04 8.510638297872340891e-05
1.902127659574467944e-02 1.938297872340425526e-02 2.148936170212765919e-03 1.880851063829787340e-02 3.914893617021276973e-03 2.297872340425531797e-03 8.723404255319149210e-04 1.063829787234042571e-03 1.638297872340425520e-03 2.276595744680851019e-03 9.212765957446807097e-03 1.314893617021276571e-02 2.765957446808510641e-03 4.425531914893617372e-03 5.617021276595744392e-03 4.765957446808510682e-03 2.489361702127659663e-03 3.936170212765956883e-03 9.765957446808510786e-03 2.531914893617021219e-03
2.617021276595744329e-03 1.508510638297872429e-02 2.127659574468085223e-05 5.361702127659574192e-03 7.021276595744680490e-04 1.063829787234042544e-04 1.489361702127659588e-04 0.000000000000000000e+00 2.276595744680851019e-03 3.829787234042552994e-04 2.319148936170212574e-03 1.080851063829787323e-02 2.148936170212765919e-03 1.723404255319148847e-03 2.851063829787233751e-03 7.234042553191489351e-04 2.978723404255319176e-04 2.446808510638298108e-03 5.297872340425531859e-03 1.595744680851063965e-03
9.027659574468085979e-02 1.368085106382978776e-02 6.170212765957447214e-04 6.359574468085106569e-02 7.834042553191489233e-02 2.340425531914893677e-04 1.914893617021276497e-04 2.127659574468085358e-04 9.212765957446807097e-03 2.319148936170212574e-03 1.382978723404255320e-03 5.446808510638298170e-03 9.808510638297872342e-03 3.297872340425531817e-03 7.489361702127659767e-03 1.872340425531914942e-03 5.144680851063829219e-02 8.744680851063829988e-03 1.638297872340425520e-03 7.914893617021277056e-03
1.046808510638297905e-02 1.561702127659574460e-02 1.037659574468084989e-01 1.855319148936170059e-02 4.144680851063829718e-02 2.108510638297872442e-02 1.021276595744680799e-03 3.408510638297872208e-02 1.314893617021276571e-02 1.080851063829787323e-02 5.446808510638298170e-03 6.021276595744680903e-03 1.082978723404255314e-02 4.042553191489361639e-03 1.417021276595744651e-02 2.868085106382978894e-02 1.541702127659574373e-01 1.495744680851063789e-02 9.361702127659573408e-03 6.404255319148935768e-03
1.934042553191489544e-02 1.597872340425532042e-02 1.893617021276595720e-03 1.751063829787233989e-02 4.446808510638297282e-03 1.595744680851063965e-03 7.446808510638298212e-04 5.531914893617021715e-04 2.765957446808510641e-03 2.148936170212765919e-03 9.808510638297872342e-03 1.082978723404255314e-02 1.404255319148936098e-03 3.063829787234042396e-03 5.297872340425531859e-03 4.148936170212766394e-03 3.085106382978723173e-03 3.829787234042552994e-03 8.042553191489361722e-03 2.340425531914893352e-03
