# TRP			TYR			PHE			HIS			LEU			ILE			MET			VAL			ALA			CYS			GLY			PRO			THR			ASN			SER			GLN			ARG			LYS			ASP			GLU
1.274999999999999918e-02 3.449999999999999942e-03 2.199999999999999699e-03 5.849999999999999298e-03 2.199999999999999699e-03 1.949999999999999910e-03 1.149999999999999981e-03 1.399999999999999986e-03 2.200000000000000133e-03 7.249999999999999500e-03 2.550000000000000183e-03 1.399999999999999986e-03 3.400000000000000244e-03 2.599999999999999881e-03 1.399999999999999986e-03 3.850000000000000124e-03 1.099999999999999849e-03 2.179999999999999993e-02 1.000000000000000021e-03 1.000000000000000021e-03
3.449999999999999942e-03 1.399999999999999986e-03 4.599999999999999922e-03 1.649999999999999991e-03 2.650000000000000012e-03 4.199999999999999740e-03 1.350000000000000071e-03 2.049999999999999739e-03 1.850000000000000082e-03 6.599999999999999964e-03 2.400000000000000223e-03 2.799999999999999972e-03 2.850000000000000103e-03 1.899999999999999996e-03 2.700000000000000143e-03 2.049999999999999739e-03 2.799999999999999972e-03 2.550000000000000183e-03 1.899999999999999779e-03 1.849999999999999865e-03
2.199999999999999699e-03 4.599999999999999922e-03 4.000000000000000192e-04 2.550000000000000183e-03 3.150000000000000022e-03 2.599999999999999881e-03 1.200000000000000112e-03 2.599999999999999881e-03 2.650000000000000012e-03 2.749999999999999840e-03 1.799999999999999951e-03 1.250000000000000026e-03 6.599999999999999964e-03 2.000000000000000042e-03 1.850000000000000082e-03 2.150000000000000001e-03 2.499999999999999618e-03 2.000000000000000042e-03 1.350000000000000071e-03 1.199999999999999895e-03
5.849999999999999298e-03 1.649999999999999991e-03 2.550000000000000183e-03 1.449999999999999900e-03 2.500000000000000052e-03 3.150000000000000022e-03 2.700000000000000143e-03 3.249999999999999851e-03 2.550000000000000183e-03 4.599999999999999922e-03 2.400000000000000223e-03 2.000000000000000042e-03 1.900000000000000213e-03 2.150000000000000001e-03 1.949999999999999910e-03 4.099999999999999478e-03 8.500000000000000611e-04 5.900000000000000730e-03 3.199999999999999720e-03 2.200000000000000133e-03
2.199999999999999699e-03 2.650000000000000012e-03 3.150000000000000022e-03 2.500000000000000052e-03 2.099999999999999870e-03 5.150000000000000064e-03 3.199999999999999720e-03 3.749999999999999861e-03 3.850000000000000124e-03 2.250000000000000264e-03 4.200000000000000608e-03 2.000000000000000042e-03 5.199999999999999761e-03 3.449999999999999942e-03 2.599999999999999881e-03 2.449999999999999921e-03 2.949999999999999931e-03 1.649999999999999991e-03 2.850000000000000103e-03 1.500000000000000031e-03
1.949999999999999910e-03 4.199999999999999740e-03 2.599999999999999881e-03 3.150000000000000022e-03 5.150000000000000064e-03 2.299999999999999961e-03 2.799999999999999972e-03 3.299999999999999982e-03 4.199999999999999740e-03 2.400000000000000223e-03 3.749999999999999861e-03 2.799999999999999972e-03 5.599999999999999943e-03 2.700000000000000143e-03 3.899999999999999821e-03 3.899999999999999821e-03 5.000000000000000104e-03 1.699999999999999905e-03 2.299999999999999961e-03 1.799999999999999951e-03
1.149999999999999981e-03 1.350000000000000071e-03 1.200000000000000112e-03 2.700000000000000143e-03 3.199999999999999720e-03 2.799999999999999972e-03 5.999999999999999474e-04 1.549999999999999946e-03 1.949999999999999910e-03 2.599999999999999881e-03 1.899999999999999996e-03 1.000000000000000021e-03 7.000000000000000146e-03 1.500000000000000031e-03 1.500000000000000031e-03 1.899999999999999779e-03 1.799999999999999951e-03 1.000000000000000021e-03 1.099999999999999849e-03 5.000000000000000104e-04
1.399999999999999986e-03 2.049999999999999739e-03 2.599999999999999881e-03 3.249999999999999851e-03 3.749999999999999861e-03 3.299999999999999982e-03 1.549999999999999946e-03 1.049999999999999935e-03 2.599999999999999881e-03 2.499999999999999618e-03 2.949999999999999931e-03 1.449999999999999900e-03 5.650000000000000508e-03 2.199999999999999699e-03 2.250000000000000264e-03 1.899999999999999996e-03 3.150000000000000022e-03 1.700000000000000122e-03 1.200000000000000112e-03 5.500000000000000331e-04
2.200000000000000133e-03 1.850000000000000082e-03 2.650000000000000012e-03 2.550000000000000183e-03 3.850000000000000124e-03 4.199999999999999740e-03 1.949999999999999910e-03 2.599999999999999881e-03 1.549999999999999946e-03 2.550000000000000183e-03 3.349999999999999679e-03 1.449999999999999900e-03 4.749999999999999882e-03 3.199999999999999720e-03 1.899999999999999996e-03 2.150000000000000001e-03 2.200000000000000133e-03 1.850000000000000082e-03 1.949999999999999910e-03 1.149999999999999981e-03
7.249999999999999500e-03 6.599999999999999964e-03 2.749999999999999840e-03 4.599999999999999922e-03 2.250000000000000264e-03 2.400000000000000223e-03 2.599999999999999881e-03 2.499999999999999618e-03 2.550000000000000183e-03 1.359999999999999924e-02 2.599999999999999881e-03 1.899999999999999996e-03 9.149999999999998412e-03 2.349999999999999659e-03 1.249999999999999809e-03 2.350000000000000092e-03 4.499999999999999877e-04 6.300000000000000044e-03 2.899999999999999800e-03 2.200000000000000133e-03
2.550000000000000183e-03 2.400000000000000223e-03 1.799999999999999951e-03 2.400000000000000223e-03 4.200000000000000608e-03 3.749999999999999861e-03 1.899999999999999996e-03 2.949999999999999931e-03 3.349999999999999679e-03 2.599999999999999881e-03 2.050000000000000173e-03 1.599999999999999860e-03 3.850000000000000124e-03 3.449999999999999942e-03 2.649999999999999578e-03 2.850000000000000103e-03 3.199999999999999720e-03 2.449999999999999921e-03 1.949999999999999910e-03 1.850000000000000082e-03
1.399999999999999986e-03 2.799999999999999972e-03 1.250000000000000026e-03 2.000000000000000042e-03 2.000000000000000042e-03 2.799999999999999972e-03 1.000000000000000021e-03 1.449999999999999900e-03 1.449999999999999900e-03 1.899999999999999996e-03 1.599999999999999860e-03 7.500000000000000156e-04 4.000000000000000083e-03 1.599999999999999860e-03 1.699999999999999905e-03 1.350000000000000071e-03 1.299999999999999940e-03 1.500000000000000031e-03 1.250000000000000026e-03 1.099999999999999849e-03
3.400000000000000244e-03 2.850000000000000103e-03 6.599999999999999964e-03 1.900000000000000213e-03 5.199999999999999761e-03 5.599999999999999943e-03 7.000000000000000146e-03 5.650000000000000508e-03 4.749999999999999882e-03 9.149999999999998412e-03 3.850000000000000124e-03 4.000000000000000083e-03 2.700000000000000143e-03 2.599999999999999881e-03 2.650000000000000012e-03 6.649999999999999661e-03 1.850000000000000082e-03 2.599999999999999881e-03 6.450000000000000004e-03 6.450000000000000004e-03
2.599999999999999881e-03 1.899999999999999996e-03 2.000000000000000042e-03 2.150000000000000001e-03 3.449999999999999942e-03 2.700000000000000143e-03 1.500000000000000031e-03 2.199999999999999699e-03 3.199999999999999720e-03 2.349999999999999659e-03 3.449999999999999942e-03 1.599999999999999860e-03 2.599999999999999881e-03 1.699999999999999905e-03 2.150000000000000001e-03 2.749999999999999840e-03 1.899999999999999996e-03 2.700000000000000143e-03 1.799999999999999951e-03 1.649999999999999991e-03
1.399999999999999986e-03 2.700000000000000143e-03 1.850000000000000082e-03 1.949999999999999910e-03 2.599999999999999881e-03 3.899999999999999821e-03 1.500000000000000031e-03 2.250000000000000264e-03 1.899999999999999996e-03 1.249999999999999809e-03 2.649999999999999578e-03 1.699999999999999905e-03 2.650000000000000012e-03 2.150000000000000001e-03 5.999999999999999474e-04 1.449999999999999900e-03 8.999999999999999754e-04 1.449999999999999900e-03 1.749999999999999820e-03 1.549999999999999946e-03
3.850000000000000124e-03 2.049999999999999739e-03 2.150000000000000001e-03 4.099999999999999478e-03 2.449999999999999921e-03 3.899999999999999821e-03 1.899999999999999779e-03 1.899999999999999996e-03 2.150000000000000001e-03 2.350000000000000092e-03 2.850000000000000103e-03 1.350000000000000071e-03 6.649999999999999661e-03 2.749999999999999840e-03 1.449999999999999900e-03 9.499999999999999981e-04 1.299999999999999940e-03 4.800000000000000447e-03 1.549999999999999946e-03 7.500000000000000156e-04
1.099999999999999849e-03 2.799999999999999972e-03 2.499999999999999618e-03 8.500000000000000611e-04 2.949999999999999931e-03 5.000000000000000104e-03 1.799999999999999951e-03 3.150000000000000022e-03 2.200000000000000133e-03 4.499999999999999877e-04 3.199999999999999720e-03 1.299999999999999940e-03 1.850000000000000082e-03 1.899999999999999996e-03 8.999999999999999754e-04 1.299999999999999940e-03 4.000000000000000192e-04 7.999999999999999299e-04 2.349999999999999659e-03 2.850000000000000103e-03
2.179999999999999993e-02 2.550000000000000183e-03 2.000000000000000042e-03 5.900000000000000730e-03 1.649999999999999991e-03 1.699999999999999905e-03 1.000000000000000021e-03 1.700000000000000122e-03 1.850000000000000082e-03 6.300000000000000044e-03 2.449999999999999921e-03 1.500000000000000031e-03 2.599999999999999881e-03 2.700000000000000143e-03 1.449999999999999900e-03 4.800000000000000447e-03 7.999999999999999299e-04 6.749999999999999924e-03 7.500000000000000156e-04 2.050000000000000173e-03
