# TRP			TYR			PHE			HIS			LEU			ILE			MET			VAL			ALA			CYS			GLY			PRO			THR			ASN			SER			GLN			ARG			LYS			ASP			GLU
3.581249999999999711e-02 4.978124999999999911e-02 4.857812499999999978e-02 4.265625000000000319e-03 6.043750000000000511e-02 8.484375000000000597e-03 3.023437500000000083e-02 4.284374999999999989e-02 3.937500000000000028e-03 4.871874999999999817e-02 1.164062499999999993e-02 1.998437499999999867e-02 3.151562500000000544e-02 5.012500000000000289e-02 4.971874999999999906e-02 6.593749999999999785e-03 6.315624999999999711e-02 3.287500000000000144e-02 1.575000000000000011e-02 4.781249999999999910e-03
4.978124999999999911e-02 6.010937499999999961e-02 1.328125000000000000e-01 1.110937499999999946e-02 2.696874999999999967e-02 3.551562499999999512e-02 2.321874999999999981e-02 7.432812499999999489e-02 5.437499999999999625e-03 1.775781250000000033e-01 1.281250000000000054e-03 7.812500000000000000e-03 1.581250000000000017e-02 1.152187500000000087e-01 7.312499999999999556e-03 2.095312499999999953e-02 2.865625000000000117e-02 2.624999999999999729e-03 5.703125000000000555e-02 1.126562500000000133e-02
4.857812499999999978e-02 1.328125000000000000e-01 4.235937499999999772e-02 4.634375000000000300e-02 1.878124999999999933e-02 3.996874999999999734e-02 3.318750000000000172e-02 7.451562500000000200e-02 1.315625000000000128e-02 1.105000000000000010e-01 1.609375000000000128e-03 3.879687499999999456e-02 2.798437499999999883e-02 7.607812499999999645e-02 7.312499999999999556e-03 1.617187500000000222e-02 4.009374999999999745e-02 7.421874999999999653e-03 6.453124999999999833e-02 2.753125000000000017e-02
4.265625000000000319e-03 1.110937499999999946e-02 4.634375000000000300e-02 0.000000000000000000e+00 7.187499999999999879e-04 1.078125000000000090e-03 2.953125000000000021e-03 2.237499999999999906e-02 1.562500000000000033e-05 4.096874999999999822e-02 3.125000000000000065e-05 1.823437499999999711e-02 1.078125000000000090e-03 2.437499999999999997e-03 2.968749999999999926e-04 9.375000000000000195e-05 4.078125000000000153e-03 1.093750000000000023e-04 2.125000000000000153e-03 1.718749999999999900e-04
6.043750000000000511e-02 2.696874999999999967e-02 1.878124999999999933e-02 7.187499999999999879e-04 3.018749999999999906e-02 1.128124999999999961e-02 1.384375000000000015e-02 1.584375000000000019e-02 5.578124999999999750e-03 2.484374999999999778e-02 2.404687500000000228e-02 1.532812500000000147e-02 1.329687499999999967e-02 2.765625000000000028e-02 5.803124999999999950e-02 1.210937500000000035e-02 5.506250000000000033e-02 4.109374999999999833e-02 2.025000000000000064e-02 5.859375000000000000e-03
8.484375000000000597e-03 3.551562499999999512e-02 3.996874999999999734e-02 1.078125000000000090e-03 1.128124999999999961e-02 6.921875000000000076e-03 2.685937500000000130e-02 1.687500000000000111e-02 7.812500000000000163e-05 2.465625000000000108e-02 1.000000000000000021e-03 8.265624999999998668e-03 2.679687499999999778e-02 2.960937500000000028e-02 7.109375000000000243e-03 1.062500000000000076e-03 9.968750000000000180e-03 1.468750000000000003e-03 1.568750000000000006e-02 1.265625000000000040e-03
3.023437500000000083e-02 2.321874999999999981e-02 3.318750000000000172e-02 2.953125000000000021e-03 1.384375000000000015e-02 2.685937500000000130e-02 7.656249999999999861e-03 2.165625000000000189e-02 2.156250000000000180e-03 3.175000000000000044e-02 7.187499999999999879e-04 5.578124999999999750e-03 2.040625000000000078e-02 1.954687499999999828e-02 3.484374999999999625e-03 8.484374999999998862e-03 2.143749999999999822e-02 7.187499999999999879e-04 5.764062500000000089e-02 2.921875000000000167e-02
4.284374999999999989e-02 7.432812499999999489e-02 7.451562500000000200e-02 2.237499999999999906e-02 1.584375000000000019e-02 1.687500000000000111e-02 2.165625000000000189e-02 3.553125000000000033e-02 3.484375000000000059e-03 1.275624999999999953e-01 8.749999999999999098e-04 7.171874999999999431e-03 1.745312499999999989e-02 7.840624999999999678e-02 8.171874999999998584e-03 1.770312500000000011e-02 3.060937500000000117e-02 3.703124999999999820e-03 3.340624999999999845e-02 9.828125000000000056e-03
3.937500000000000028e-03 5.437499999999999625e-03 1.315625000000000128e-02 1.562500000000000033e-05 5.578124999999999750e-03 7.812500000000000163e-05 2.156250000000000180e-03 3.484375000000000059e-03 1.562500000000000033e-05 7.828125000000000014e-03 3.593749999999999939e-04 1.578125000000000101e-03 1.048437500000000064e-02 6.671874999999999854e-03 1.968750000000000014e-03 3.281249999999999662e-04 1.078125000000000090e-03 2.343749999999999913e-04 1.578125000000000101e-03 2.187500000000000046e-04
4.871874999999999817e-02 1.775781250000000033e-01 1.105000000000000010e-01 4.096874999999999822e-02 2.484374999999999778e-02 2.465625000000000108e-02 3.175000000000000044e-02 1.275624999999999953e-01 7.828125000000000014e-03 9.565624999999999822e-02 3.281250000000000312e-03 3.279687500000000311e-02 2.314062500000000147e-02 1.352031250000000073e-01 1.071874999999999911e-02 2.446875000000000092e-02 4.390624999999999389e-02 5.000000000000000104e-03 6.354687500000000266e-02 1.978125000000000022e-02
